Début,Fin,Type,detected,Commentaire,"dauphin vidéo ? "
115.864803,116.755765,whistle,N,t,
126.794819,127.185650,whistle,N,t,
131.411924,132.372440,whistle,Y,T,
211.095058,211.923090,whistle,N,t,
236.194352,236.479194,whistle,Y,T,
249.820439,250.734586,whistle,Y,t,
320.560833,320.852300,whistle,N,t,
377.767879,378.191831,whistle,N,tt,
379.768403,379.980379,whistle,N,tt,
393.931055,394.242395,whistle,N,t,
413.452727,414.052222,whistle,Y,t,
415.777840,416.380647,whistle,Y,t,
417.904225,418.500408,whistle,Y,T,
419.729207,420.378384,whistle,Y,TTT,
421.633679,422.392156,whistle,Y,T,
430.473745,431.291840,whistle,Y,T,
449.478725,449.763568,whistle,Y,t,
468,470,Y,,T,
472.481443,473.680432,whistle,Y,T,
475.790257,476.873322,whistle,Y,T,
477.058801,477.323771,whistle,Y,t,
485.246377,486.044600,whistle,Y,t,
488.115992,488.487619,whistle,Y,tt,
491.417105,491.775339,whistle,Y,T,
503.409584,504.065789,whistle,Y,T,
514.267096,514.544979,whistle,N,t,
523.758631,524.465056,whistle,Y,T,
529.620951,530.394335,whistle,Y,t,
533.236774,534.060378,whistle,Y,T,
541.978360,542.868924,whistle,Y,T,
547.281567,547.663237,whistle,N,tt,
562.149964,563.238059,whistle,Y,t,
565.451077,566.385164,whistle,Y,t,
568.119420,568.822497,whistle,Y,T,
569.431830,570.392701,whistle,Y,T,
580,581,,,,
589.861229,590.353382,whistle,Y,Tt,
593.604275,594.421183,whistle,Y,T,
650.998766,651.480876,whistle,Y,t,
670.785352,671.394685,whistle,N,t,
674.595358,675.482574,whistle,Y,t,
683.577999,684.455171,whistle,Y,t,
703.759648,703.973919,whistle,Y,TT,
713,714,boat,fp,,
730.510040,731.387212,whistle,Y,T,
770.344355,770.950340,whistle,Y,t,
773.273841,773.993658,whistle,Y,T,
793.067123,793.445445,whistle,N,tt,
902,903,rien,,,
1070.243378,1071.093766,whistle,Y,T,
1072.339216,1073.179560,whistle,Y,T,
1421,1423,whistle,Y,t,
1663,1664,,?,,
1675,1676,RIEN,,,
1708,1709,whistle,Y,tt,
2079.134947,2079.734236,whistle,Y,T,
2080.956251,2081.836770,whistles,Y,t,
2125.946461,2126.301347,whistle,N,tt,
2128.038951,2128.782203,whistle,N,tt,
2145.461860,2146.071193,whistle,Y,t,
2146.868013,2148.093376,whistle,N,ttt,
2188.788122,2189.096137,whistle,N,T,
2475.231597,2476.624358,whistle,Y,T,
2547.199863,2548.298002,whistle,Y,T,
2595.785808,2597.332577,whistle,Y,TT,
2603.747314,2605.126684,whistle,N,tt,
2761.885995,2762.689511,whistle,Y,T,
2816.156817,2817.489314,whistle,N,t,
2858.461944,2859.399379,whistle,Y,T,
2973.645988,2977.214939,whistle,Y,T,
3004.715281,3005.465229,whistle,Y,T,
3005.465229,3006.054474,whistle,Y,t,
3006.308921,3006.924950,whistle,Y,T,
3007.681595,3007.956129,whistle,N,T,
3008.143616,3008.364583,whistle,N,T,
